key,type,position,name,modifierLevel,effect,targeted,effectRadius,effectHitDie,effectDuration,effectColor,defense_bonus,power_bonus,hitdie_bonus
minor,Consumable,prefix,Minor,-1,None,False,0,-1,0,None,0,0,0
major,Consumable,prefix,Major,1,None,False,0,1,0,None,0,0,0
exquisite,Consumable,prefix,Exquisite,3,None,False,0,2,1,None,0,0,0
tiny,Equipment,prefix,Tiny,-2,None,False,0,0,0,None,-1,-1,-2
small,Equipment,prefix,Small,-1,None,False,0,0,0,None,0,0,-1
large,Equipment,prefix,Large,1,None,False,0,0,0,None,0,0,1
huge,Equipment,prefix,Huge,2,None,False,0,0,0,None,1,1,2
giant,Equipment,prefix,Giant,3,None,False,0,0,0,None,2,2,3
ruined,Equipment,prefix,Ruined,-1,None,False,0,0,0,None,0,-1,0
ancient,Equipment,prefix,Ancient,0,None,False,0,0,0,None,0,0,0
soldier,Equipment,suffix,of the soldier,1,None,False,0,0,0,None,0,1,0
slaying,Equipment,suffix,of slaying,3,None,False,0,0,0,None,-2,3,0
minorProtection,Equipment,suffix,of minor protection,1,None,False,0,0,0,None,1,0,0
protection,Equipment,suffix,of protection,2,None,False,0,0,0,None,2,0,0
majorProtection,Equipment,suffix,of major protection,3,None,False,0,0,0,None,3,0,0
bear,Equipment,suffix,of the bear,1,None,False,0,0,0,None,0,0,2
elephant,Equipment,suffix,of the elephant,2,None,False,0,0,0,None,0,0,4
whale,Equipment,suffix,of the whale,3,None,False,0,0,0,None,0,0,6